input_text	label
SMILE2Biosyn_class: C/C1=C/[C@@H](C)C/C=C/[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H]([C@@H](C)C4=C[NH]C5=CC=CC=C45)NC(=O)[C@@]23C(=O)/C=C/C(=O)[C@@H]1O	Alkaloid
SMILE2Biosyn_class: COC1=CC2=C(C=C1)C(C[C@@H]1NC(=O)[C@@H]3CCCN3C1=O)=C(C(=O)[C@H]1OC1(C)C)N2	Alkaloid
SMILE2Biosyn_class: COC1=CC=CC2=NC3=C(OC)C=CC(CC=C(C)C)=C3N=C12	Alkaloid
SMILE2Biosyn_class: [H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C	Alkaloid
SMILE2Biosyn_class: C[C@H]1[C@@H]2C(=O)[C@H]([C@]3([C@H]([C@]2(C=CC1=O)C)CC[C@@]\4([C@@]3(C[C@@H](/C4=C(/CC=C(C)C)\C(=O)O)OC(=O)C)C)C)C)OC(=O)C	Alkaloid
SMILE2Biosyn_class: [C]=NC1C2c3c([nH]c4ccccc34)C(C)(C)C2CC(Cl)C1(C)C=C	Alkaloid
SMILE2Biosyn_class: [C]=NC1C2c3c([nH]c4ccccc34)C(C)(C)C2CC(Cl)C1(C)C=C	Alkaloid
pfam2SMILES: PF02321.20_PF02321.20_PF07690.18_PF16576.7_PF00067.24_PF00301.22_PF12146.10_PF00487.26_PF00550.27_PF00487.26_PF00487.26_PF00501.30	C#CC#CC#CC#C/C=C/C=C/C(CCCCC(=O)O)O
tigrfam2SMILES: TIGR01845_TIGR00711	C#CC#CC#CC#C/C=C/C=C/C(CCCCC(=O)O)O
invalid2valid: [CCCCC=CC=CClC=C/C(C/C==(((CO)O)=)	C#CC#CC#CC#C/C=C/C=C/C(CCCCC(=O)O)O
invalid2valid: C[CC[CCCCCCC(C=C=C(C(C=C(((=C)C)C)C	C#CC#CC#CC#C/C=C/C=C/C(CCCCC(=O)O)O
invalid2valid: [C(C#C#C#C=C/C=C/C==(((=O)O)O	C#CC#CC#CC#C/C=C/C=C/C(CCCCC(=O)O)O
invalid2valid: C[CC(C(CC(CC(C=C/C=C/C==(((=O)O)O)	C#CC#CC#CC#C/C=C/C=C/C(CCCCC(=O)O)O
GeneProduct2SMILE: hypothetical protein	C#C[C@@H](O)[C@H](N)C(=O)O
pfam2SMILES: PF00892.22_PF00892.22_PF18604.3_PF02655.16_PF18105.3_PF01053.22_PF14518.8	C#C[C@H]([C@@H](C(=O)O)N)O
invalid2valid: /C/C@H](CC@HH](C(CO)C)C)C)	C#C[C@H]([C@@H](C(=O)O)N)O
invalid2valid: C[CC/C+H]1CC@@H]1C(=O)O)O)C)	C#C[C@H]([C@@H](C(=O)O)N)O
invalid2valid: [CC[C@@](CC@@H](C)=O)N)O[O)	C#C[C@H]([C@@H](C(=O)O)N)O
pfam2SMILES: PF04303.15_PF00892.22	C(/C(=C\C(=O)O)/C(=O)O)C(=O)O
pfam2SMILES: PF00150.20_PF00005.29_PF01433.22_PF09536.12_PF00109.28_PF02801.24_PF16197.7_PF00698.23_PF14765.8_PF08659.12_PF00550.27_PF00668.22_PF00501.30_PF08241.14_PF00550.27_PF00668.22_PF00501.30_PF13193.8_PF00550.27_PF00668.22_PF00668.22_PF00501.30_PF13193.8_PF00550.27_PF00668.22_PF00501.30_PF13193.8_PF00550.27_PF00668.22_PF00501.30_PF13193.8_PF00550.27_PF00668.22_PF00501.30_PF13193.8_PF00550.27_PF00668.22_PF00501.30_PF13193.8_PF00550.27_PF00975.22_PF10027.11_PF00271.33_PF00270.31_PF00679.26_PF03764.20_PF14492.8_PF03144.27_PF00009.29_PF00027.31_PF00254.30_PF00149.30	C(=C/C=C/C=C/C=C/C=C/C=C/C)\C=C\C(=O)N(C)[C@H]1[C@@H](C)OC([C@@H](NC(=O)[C@@H](NC([C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC1=O)=O)C)CCC(=O)N)=O
tigrfam2SMILES: TIGR02265_TIGR01733_TIGR01733_TIGR01720_TIGR01733_TIGR01733_TIGR01733_TIGR01733_TIGR01733_TIGR00484_TIGR00231	C(=C/C=C/C=C/C=C/C=C/C=C/C)\C=C\C(=O)N(C)[C@H]1[C@@H](C)OC([C@@H](NC(=O)[C@@H](NC([C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC1=O)=O)C)CCC(=O)N)=O
GeneProduct2SMILE: glycosyl hydrolase_multidrug ABC transporter ATP-binding protein_membrane protein_uncharacterized protein_polyketide synthase_nonribosomal peptide synthetase_nonribosomal peptide synthetase_membrane protein_ATP-dependent RNA helicase RhlE_elongation factor G_cyclic nucleotide-binding protein_peptidyl-prolyl cis-trans isomerase_metallophosphatase	C(=C/C=C/C=C/C=C/C=C/C=C/C)\C=C\C(=O)N(C)[C@H]1[C@@H](C)OC([C@@H](NC(=O)[C@@H](NC([C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC1=O)=O)C)CCC(=O)N)=O
pfam2SMILES: PF01636.25_PF17914.3_PF02441.21_PF06325.15_PF02624.18_PF07812.14_PF05721.15_PF00112.25	C(C(C)=O)(NC(C(C)C)C(NC(CCSC)C(NC(C(NC(C(NC(C(NC(C(NC1C(=O)NC(C(NC(C)C(=O)NC(CC2C=CC=CC=2)C(NC(C(O)C2N(C)C=[N+](C)C=2)C(=O)NC=CSC1C)=O)=O)C(C)C)=O)C)=S)C)=S)C)=O)C)=S)=S)=O
tigrfam2SMILES: TIGR00702_TIGR00702	C(C(C)=O)(NC(C(C)C)C(NC(CCSC)C(NC(C(NC(C(NC(C(NC(C(NC1C(=O)NC(C(NC(C)C(=O)NC(CC2C=CC=CC=2)C(NC(C(O)C2N(C)C=[N+](C)C=2)C(=O)NC=CSC1C)=O)=O)C(C)C)=O)C)=S)C)=S)C)=O)C)=S)=S)=O
GeneProduct2SMILE: hypothetical proteinhypothetical proteinhypothetical proteinhypothetical proteinputative flavoprotein decarboxylase_putative methyltransferase_hypothetical proteinTfuA-like core domain-containing protein_putative phytanoyl-CoA dioxygenase family protein_putative protease_hypothetical protein	C(C(C)=O)(NC(C(C)C)C(NC(CCSC)C(NC(C(NC(C(NC(C(NC(C(NC1C(=O)NC(C(NC(C)C(=O)NC(CC2C=CC=CC=2)C(NC(C(O)C2N(C)C=[N+](C)C=2)C(=O)NC=CSC1C)=O)=O)C(C)C)=O)C)=S)C)=S)C)=O)C)=S)=S)=O
invalid2valid: [C1C(=O)CC(C)C)C)C(NC(C()C(=(C(NC(C(NC(C(NC(C(NC(C(NCO)NC(C(NC(C(C(=O)NC(C(C=CC=C=2)C(=(C)NC)C)C(C)C=ON+](C)C=2)C(=O)NC(S)1C)=O)CO)C)=)C)=O)C)=O)C)=O)=)=S)C)=S)CS)CS)	C(C(C)=O)(NC(C(C)C)C(NC(CCSC)C(NC(C(NC(C(NC(C(NC(C(NC1C(=O)NC(C(NC(C)C(=O)NC(CC2C=CC=CC=2)C(NC(C(O)C2N(C)C=[N+](C)C=2)C(=O)NC=CSC1C)=O)=O)C(C)C)=O)C)=S)C)=S)C)=O)C)=S)=S)=O
invalid2valid: C[C)C)CO)CC(C(C(C(C(C(C((C(=(=(C(=(C(=(C(C(C(=(CC)C(=(C(C(C(=O)C(=(=(C(C(CC(C(=(C)C(=)C)C(CC)](C@C@OC@CO)C(O@(=@CO)CC)C@C@C@CO)C@CO)C@CO)C@CO)C@CO)CO)CO)	C(C(C)=O)(NC(C(C)C)C(NC(CCSC)C(NC(C(NC(C(NC(C(NC(C(NC1C(=O)NC(C(NC(C)C(=O)NC(CC2C=CC=CC=2)C(NC(C(O)C2N(C)C=[N+](C)C=2)C(=O)NC=CSC1C)=O)=O)C(C)C)=O)C)=S)C)=S)C)=O)C)=S)=S)=O
invalid2valid: C[C1C(CO)=NC(C(C)C)C(NC(C()C(O(C(NC(C(NC(C(C(C(C(=(=O)NC(C(C(C(C(OO)NC(C(==CC=C=2)NC(NC(C(NC)=(=(C)C=2)N+])C)C(2)C(=O)NC(CC2C)=O)=O)=)C)C)=O)=)=O)=)=O)C)=O)=)=O)CO)=O)	C(C(C)=O)(NC(C(C)C)C(NC(CCSC)C(NC(C(NC(C(NC(C(NC(C(NC1C(=O)NC(C(NC(C)C(=O)NC(CC2C=CC=CC=2)C(NC(C(O)C2N(C)C=[N+](C)C=2)C(=O)NC=CSC1C)=O)=O)C(C)C)=O)C)=S)C)=S)C)=O)C)=S)=S)=O
invalid2valid: [C1C)CC)CC(=)=)C)C(=(=((C(=(=(C(=)C(=(C(=(=(=(CO)NC(C(=(=)C(CO)NC(C(=(CC=C=CNC(=(=)C)C(C=C(C(CN+](=)C(CNC(=O)NC(O([=(CO)CO)C(=)C(CO)C(CO)C(CO)C(CC)C(CO)CO)CO)	C(C(C)=O)(NC(C(C)C)C(NC(CCSC)C(NC(C(NC(C(NC(C(NC(C(NC1C(=O)NC(C(NC(C)C(=O)NC(CC2C=CC=CC=2)C(NC(C(O)C2N(C)C=[N+](C)C=2)C(=O)NC=CSC1C)=O)=O)C(C)C)=O)C)=S)C)=S)C)=O)C)=S)=S)=O
pfam2SMILES: PF16864.7_PF00891.20_PF00501.30_PF13193.8_PF00550.27_PF00501.30_PF13193.8_PF00550.27_PF00668.22_PF00975.22_PF00664.25_PF00005.29_PF00664.25_PF00005.29_PF00291.27_PF02423.17_PF00668.22_PF00501.30_PF13193.8_PF00550.27_PF00668.22_PF00501.30_PF13193.8_PF00550.27_PF00109.28_PF02801.24_PF16197.7_PF00550.27_PF00668.22_PF00501.30_PF13193.8_PF00550.27_PF00668.22_PF00583.27_PF13450.8_PF00196.21_PF01408.24_PF12680.9_PF00196.21	C(C1C(=C(C(=O)N1)C(=O)CC(C(=O)O)(C(=O)O)NC(=O)C(CO)N)O)N
tigrfam2SMILES: TIGR01733_TIGR01733_TIGR03945_TIGR03944_TIGR01733_TIGR01733_TIGR01733	C(C1C(=C(C(=O)N1)C(=O)CC(C(=O)O)(C(=O)O)NC(=O)C(CO)N)O)N
GeneProduct2SMILE: SAM-dependent O-methyltransferase_non-ribosomal peptide synthetase_non-ribosomal peptide synthetase_thioesterase_multidrug ABC transporter ATP-binding protein_multidrug ABC transporter_cysteine synthase_ornithine cyclodeaminase_vitamin K-dependent carboxylase_non-ribosomal peptide synthetase_non-ribosomal peptide synthetase_acetyltransferase_phytoene dehydrogenase-like oxidoreductase_LuxR family transcriptional regulator_oxidoreductase_hypothetical protein_two component LuxR family transcriptional regulator_two component transcriptional regulator, LuxR family	C(C1C(=C(C(=O)N1)C(=O)CC(C(=O)O)(C(=O)O)NC(=O)C(CO)N)O)N
invalid2valid: [C1C(CO(C(CC)C1)NCl=O)N(C)CO)N)OC(=O)O)O(=O)C2C)(2OO	C(C1C(=C(C(=O)N1)C(=O)CC(C(=O)O)(C(=O)O)NC(=O)C(CO)N)O)N
invalid2valid: C[C)=(=O(=(=O)C)C(CO)C(=(=O)C)C=(CO)C)C(CO)C(C)C)C)C)	C(C1C(=C(C(=O)N1)C(=O)CC(C(=O)O)(C(=O)O)NC(=O)C(CO)N)O)N
invalid2valid: [C(C(CO(C(=C)O1)C(=O)N(=(=O)N)NCC(=O)O)O(=O)C(CC)NC)O)O)	C(C1C(=C(C(=O)N1)C(=O)CC(C(=O)O)(C(=O)O)NC(=O)C(CO)N)O)N
invalid2valid: [[1=(=O(C(=O)C[C(=O)N(=)=O)N)OC)=O)N)O(=O)C(=)C(O)O(	C(C1C(=C(C(=O)N1)C(=O)CC(C(=O)O)(C(=O)O)NC(=O)C(CO)N)O)N
pfam2SMILES: PF00356.23_PF13377.8_PF10509.11_PF00288.28_PF08544.15_PF01370.23_PF01087.24_PF02744.19_PF13531.8_PF00528.24_PF00005.29_PF00899.23_PF00994.26_PF01967.23_PF03453.19_PF00994.26_PF03454.17_PF03205.16_PF02391.19_PF02597.22_PF12804.9_PF04055.23_PF06463.15	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=O
pfam2SMILES: PF04055.23_PF06463.15_PF02597.22_PF00899.23_PF01967.23	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=O
tigrfam2SMILES: TIGR00131_TIGR01179_TIGR01239_TIGR01256_TIGR02141_TIGR00177_TIGR00581_TIGR00177_TIGR00176_TIGR01682_TIGR02666	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=O
tigrfam2SMILES: TIGR02666_TIGR01682	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=O
GeneProduct2SMILE: NarQ-like protein_GalR_GalK_GalE_GalT_ModA_ModB_ModC_MoeB_MoaB_MoaC_MoeA_MobB_MoaE_MoaD_MobA_MoaA	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=O
GeneProduct2SMILE: MoaA_MoaD_MoaB_MoaC	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=O
invalid2valid: C[C1C(CC(C(C(O1)NC3=C(N2)C==O)N(C(N3)N)[S-])[S-])OP(=O)([O-])[O-]O-[Mo+]]=O	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=O
invalid2valid: CCC1C(CC(C2C(O1)C3=C(N2)C==CN)N=C(N3)N)[S-])OPS-])OP(=O)([O-].)[O-].[=[Mo+2]=O	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=O
invalid2valid: [C@C(CC(C(=(C)C(CC(C[C(CO)C)O(C)C)CC)](CC)](C(CO)CCC)](CC)]()OC))]=(O)	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=O
invalid2valid: C[C(C(CO(C(=(=2)OC3CC(N)C==O)N)C(N3)C)CC+])[O+])O(=O)[=O-])OO-]O.[Fa+2][	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=O
invalid2valid: [[[=(=O(C(C(C2)C(=C(C(C(=O)C3C(C(C(CC+])CC+])C(=O)(CC-])CC-]))CNH]3](C)	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=O
pfam2SMILES: PF00483.25_PF01569.23_PF14052.8_PF02563.18_PF10531.11_PF10531.11_PF18412.3_PF01451.23_PF02706.17_PF13807.8_PF13614.8_PF19896.1_PF01943.19_PF04230.15_PF08660.13_PF04101.18_PF13727.8_PF02397.18_PF03446.17_PF00393.21	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
pfam2SMILES: PF00483.25_PF01569.23_PF14052.8_PF02563.18_PF10531.11_PF10531.11_PF18412.3_PF01451.23_PF02706.17_PF13807.8_PF13614.8_PF19896.1_PF01943.19_PF04230.15_PF08660.13_PF04101.18_PF13727.8_PF02397.18_PF03446.17_PF00393.21	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
pfam2SMILES: PF00483.25_PF01569.23_PF14052.8_PF02563.18_PF10531.11_PF10531.11_PF18412.3_PF01451.23_PF02706.17_PF13807.8_PF13614.8_PF13727.8_PF02397.18_PF04932.17_PF00535.28_PF13439.8_PF00534.22_PF13439.8_PF00534.22_PF13440.8_PF03446.17_PF00393.21	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
pfam2SMILES: PF00483.25_PF01569.23_PF14052.8_PF02563.18_PF10531.11_PF10531.11_PF18412.3_PF01451.23_PF02706.17_PF13807.8_PF13614.8_PF13727.8_PF02397.18_PF04932.17_PF00535.28_PF13439.8_PF00534.22_PF13439.8_PF00534.22_PF13440.8_PF03446.17_PF00393.21	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
pfam2SMILES: PF00483.25_PF01569.23_PF14052.8_PF02563.18_PF10531.11_PF10531.11_PF18412.3_PF01451.23_PF02706.17_PF13807.8_PF13614.8_PF13439.8_PF00534.22_PF00535.28_PF16363.7_PF01370.23_PF00293.30_PF13579.8_PF00534.22_PF13727.8_PF02397.18_PF03446.17_PF00393.21	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
tigrfam2SMILES: TIGR01105_TIGR01007_TIGR03023_TIGR03025_TIGR00873	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
tigrfam2SMILES: TIGR01105_TIGR01007_TIGR03023_TIGR03025_TIGR00873	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
tigrfam2SMILES: TIGR01105_TIGR01007_TIGR03022_TIGR03025_TIGR00873	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
tigrfam2SMILES: TIGR01105_TIGR01007_TIGR03022_TIGR03025_TIGR00873	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
tigrfam2SMILES: TIGR01105_TIGR01007_TIGR01472_TIGR03023_TIGR03025_TIGR00873	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
GeneProduct2SMILE: UDP-glucose pyrophosphorylase_acid phosphatase homologue_surface assembly of capsule_multimeric putative translocation channel_protein tyrosine phosphatase_putative transmembrane protein_UDP-Gal::undecaprenolphosphate Gal-1-P transferase_polymerase_putative acetyltransferase_glycosyltransferase_glycosyltransferase_putative glycosyl hydrolase_glycosyltransferase_flippase_6-phosphogluconate dehydrogenase	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
GeneProduct2SMILE: UDP-glucose pyrophosphorylase_acid phosphatase homologue_surface assembly of capsule_multimeric putative translocation channel_protein tyrosine phosphatase_putative transmembrane protein_UDP-Gal::undecaprenolphosphate Gal-1-P transferase_serotype K20 polymerase_putative acetyltransferase_glycosyltransferase_glycosyltransferase_putative glycosyl hydrolase_glycosyltransferase_flippase_6-phosphogluconate dehydrogenase	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
GeneProduct2SMILE: UDP-glucose pyrophosphorylase_acid phosphatase homologue_surface assembly of capsule_multimeric putative translocation channel_protein tyrosine phosphatase_putative transmembrane protein_polymerase_flippase_putative pyruvyl transferase_hypothetical protein_putative acetyltransferase_putative glycosyltransferase_putative glycosyltransferase_putative glycosyltransferase_glycosyltransferase_6-phosphogluconate dehydrogenase	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
GeneProduct2SMILE: UDP-glucose pyrophosphorylase_acid phosphatase homologue_surface assembly of capsule_multimeric putative translocation channel_protein tyrosine phosphatase_putative transmembrane protein_putative glycosyltransferase_flippase_serotype K54 polymerase_putative acetyltransferase_putative glycosyltransferase_GDP-D-mannose dehydratase_GDP-fucose synthetase_putative GDP-mannose_putative glycosyl transferase_putative CPS biosynthesis glycosyltransferase_6-phosphogluconate dehydrogenase	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
GeneProduct2SMILE: UDP-glucose pyrophosphorylase_acid phosphatase homologue_surface assembly of capsule_multimeric putative translocation channel_protein tyrosine phosphatase_putative transmembrane protein_serotype K5 polymerase_flippase_putative pyruvyl transferase_hypothetical protein_putative acetyltransferase_putative glycosyltransferase_putative glycosyltransferase_putative glycosyltransferase_glycosyltransferase_6-phosphogluconate dehydrogenase	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
invalid2valid: [C1C(C(C(C(C1)OC2C(C(C(C2OC3C(C(C(C(C3)C(=O)O)OC4C(C(C(C(C4)CO)O)O)O)O)O)O5C(OC(C(C(O)O)OC6C(C(C(C(C6)O)O)O)O)CO)CO)O)O)O)O)O)	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
invalid2valid: [C1C(C(C(C(C1)OC2C(C(C(C2OC3C(C(C(C(C3)C(=O)O)OC4C(C(C(C(C4)CO)O)O)O)O)O)O5C(OC(C(C(O)O)OC6C(C(C(C(C6)O)O)O)O)CO)CO)O)O)O)O)O)	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
invalid2valid: [C1C(C(C(C(C1)OC2C(C(C(C2OC3C(C(C(C(C3)C(=O)O)OC4C(C(C(C(C4)CO)O)O)O)O)O)O5C(OC(C(C(O)O)OC6C(C(C(C(C6)O)O)O)O)CO)CO)O)O)O)O)O)	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
invalid2valid: C[C)C(C(C(C(C)C(C(C(C(C(C(C(C(C(C(C)C(CO)C)C(=(C(C(C(C)C)C)C)C)C)C)C(=(C(C(C(=)C)C((=(C(C(C(C)C)C)C)C)C)C)C)C)C)C)C)	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
invalid2valid: CCC1C(C(C(O(O1)O2C(C(C(C2O3=(C(C(C(O3)C(=O)O)O4C(C(C(C(O4)C)O)O)O)O)O)O5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)O)O)O)O)O)O)O)	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O
